subject,ects,classtype,term,offered,first_year,description
Soft Power and Its Tools in International,3,wykład,,False,False,"**Przedmiot prowadzony przez prof. dr hab. Beatę Ociepkę z Instytutu Studiów Międzynarodowych UWr.**

Pozyskanie wiedzy z zakresu stosunków międzynarodowych, w tym na temat roli i znaczenia
miękkiej siły jako zasobu państwa i sposobu zachowania w stosunkach międzynarodowych.
Pogłębienie wiedzy dotyczącej relacji pomiędzy wymiarem wewnętrznym i zewnętrznym polityki
zagranicznej poprzez poznanie analizy polityki zagranicznej. Wskazanie na wpływ strategii
rządowych i działań NGO na pozycję międzynarodową państwa. Wypracowanie umiejętności
tworzenia podstaw strategii zastosowania narzędzi miękkiej siły na różnych poziomach relacji
międzynarodowych. Wskazanie na udział i znaczenie aktorów niepaństwowych i obywateli w
stosunkach międzynarodowych i na zagrożenia, wynikające z procesów de-demokratyzacji i
kurczenia się sfery publicznej, dla tego udziału.
##### Treści programowe
Studenci poznają znaczenie miękkiej siły i jej narzędzi jak dyplomacja publiczna i kulturalna oraz
kształtowanie marki państw (branding państw) w polityce zagranicznej. Uzyskają zarówno wiedzę
teoretyczną, jak i praktyczną o przygotowaniu kampanii, wykorzystujących zasoby miękkiej siły
państwa.�
1. Koncepcja miękkiej siły w teorii stosunków międzynarodowych. Ujęcie J.S Nye: miękka,
twarda i sprytna siła jako ramy dla studiów nad dyplomacją publiczną i brandingiem
państw. Sila i dyskurs: dyskurs jako siła w stosunkach międzynarodowych.
2. Sila normatywna Mannersa: „normalność” w stosunkach międzynarodowych. Siła
społeczna według van Hama. Europejska odpowiedź na amerykańską koncepcję
miękkiej siły. Miękkie elementy siły ekonomicznej.
3. Siła komunikacji w stosunkach międzynarodowych. Rola mediów jako aktorów
stosunków międzynarodowych i gatekeeperów w komunikacji międzynarodowej:
Facebook/Meta jako globalny gatekeeper.
4. Dyplomacja publiczna jako narzędzie miękkiej siły w polityce zagranicznej.
5. Kultura jako zasób miękkiej siły: dyplomacja kulturalna i dyplomacja publiczna.
6. Dyplomacja publiczna jako forma międzynarodowej komunikacji politycznej.
Dyplomacja publiczna 2.0 i Twiplomacja.
7. Ekonomizacja polityki zagranicznej: zagraniczna polityka wizerunkowa, branding
państw i międzynarodowe public relations.
8. Wpływ narzędzi miękkiej siły na opinię publiczną za granicą: jak to działa? Narracje i
dyskursy. Nadawanie za granicę.
9. Miękka siła państw małych i średnich. Przypadek wykorzystania brandingu dla
bezpieczeństwa państwa: Litwa, Łotwa i Estonia.
10. Polska: studium przypadku.
11. Miękka siła superpotęgi: Stany Zjednoczone.
12. Wykorzystanie miękkiej siły i jej narzędzi przez państwa autorytarne: Chiny. Przypadek
Rosji w kontekście agresji na Ukrainę.
13. Państwo jako marka (brand): indeksy miękkiej siły, marek państw i ich postrzegania.
14. Kampanie i strategie narzędzi miękkiej siły na poziomie centralnym, regionalnym i
lokalnym."
Project: Martian Rover Analog Construction and Development,4,indywidualny/zespołowy projekt programistyczny,,False,False,"Celem projektu jest skonstruowanie i oprogramowanie analogu łazika
marsjańskiego, który będzie brał udział w zawodach University Rover Challenge (URC), European Rover Challenge (ERC) i innych. Zadania do zrealizowania w ramach projektu
obejmują:

- Oprogramowanie sterowników silników oraz modułów pomocniczych,
- Algorytmy planowania trasy i rozpoznawania przeszkód,
- Algorytmy sterowania manipulatorem,
- Zarządzanie kamerami i transmisją obrazu,
- Konfiguracja łączności bezprzewodowej,
- Projekt mechaniczny komponentów łazika, dostosowanych do zadań wymaganych w konkretnych zawodach (np. moduły pobierania, przechowywania i badania próbek, efektor przeznaczony do pisania na klawiaturze).

Do programowania łazika wykorzystywany jest system ROS (Robot Operating System, http://www.ros.org/). Wbrew nazwie, ROS nie jest systemem operacyjnym, a raczej frameworkiem, zbiorem narzędzi i modułów przeznaczonych do programowania rozproszonego systemu sterowania robotami. Wcześniejsza znajomość ROS nie jest wymagana.

Zajęcia mają charakter zamknięty - udział w projekcie mogą brać tylko
członkowie koła Continuum. Osoby nie będące członkami koła, chcące wziąć udział w projekcie, powinny skontaktować się z wykładowcą oraz zarządem koła.

#### Wymagania

- Znajomość języka C, C++ lub Python,
- Umiejętność pracy w systemie Linux przy użyciu linii poleceń,
- Znajomość systemu kontroli wersji Git.

#### Literatura

* Jason M. O'Kane, A Gentle Introduction to ROS.
* Morgan Quigley, Brian Gerkey and William D. Smart, Programming Robots with ROS, O'Reilly."
Introduction to Programming in C,5,wykład – wykład interaktywny - samodzielna praca przy komputerze - indywidualne programowanie – indywidualny projekt programistyczny,,False,True,"**Wstęp, czyli jak się ma ""Wstęp do programowania w języku C"" do ""Wstępu do programowania w języku Python""**

Studenci 1-go roku studiów 1-go stopnia mogą rozpocząć naukę programowania i podstaw informatyki w jednym z dwóch języków: **C albo Python** (można wybrać tylko jeden z tych dwóch kursów!). Każdy z tych kursów pozwala opanować podstawy informatyki i programowania a w dalszych semestrach doskonalić się w programowaniu w innych (lub tych samych) językach. W szczególności zaczynając od ""Kursu: Wstęp do programowania w języku C"", nie skazujecie się na zawsze na ten język (i nieznajomość Pythona) oraz _vice versa_. W drugim semestrze studiów (i kolejnych) pojawiają się kursy języków programowania (C++, Java, Ruby, Python), które pozwalają opanować różne języki, przy założeniu, że studenci mają ogólne pojęcie o programowaniu, które zdobywają na obu przedmiotach ""Kurs: Wstęp do programowania w języku C/Python"".

**O samym kursie ""Wstęp do programowania w języku C""**  
  

Celem tego kursu jest nauczenie i rozwinięcie podstawowych umiejętności programowania w jednym z najbardziej rozpowszechnionych języków imperatywnych - języku C. Wykład jest ilustrowany wieloma przykładami, a towarzyszące mu zajęcia w pracowniach uczą (poprzez wiele drobnych zadań i końcowy projekt)
praktyki dobrego programowania. Nie wymaga on od uczestników żadnych wcześniejszych umiejętności programowania, ale studenci startujący od zera będą musieli poświęcić mu więcej pracy w domu, aby szybko wyrównać poziom. Elementy języka są wprowadzane stopniowo, zaczynając od konstrukcji podstawowych, a kończąc na bardziej zaawansowanych zagadnieniach, jak wskaźniki i dynamiczne struktury danych, operacje na plikach czy funkcje rekurencyjne. Ostatnie wykłady poświęcone są obiektowym elementom języka C++.  
Pochód języków programowania trwa od zarania informatyki. Studium języków C i C++ ułatwia start w naturalną ich kontynuację, do której obecnie zaliczają się ważne z komercyjnego punktu widzenia języki i środowiska: Java (Sun) oraz C# (.NET Microsoft).

**Wymagane przygotowanie:** Brak, chociaż przydatna będzie podstawowa umiejętność programowania.  

W przypadku prowadzenia zajęć w formie zdalnej, wykłady będą w formie wideokonferencji, a na pracowni studenci będą indywidualnie programować rozwiązania zadań z list. Zgłaszanie rozwiązań oraz punktowe i słowne oceny programów będą realizowane w systemie SKOS.
  
**Program:**

  * Podstawowe konstrukcje języka: instrukcje i deklaracje.
  * Standardowe typy danych, wyrażenia.
  * Standardowe wejście/wyjście, filtry.
  * Funkcje, moduły i struktura programu.
  * Metody agregacji danych: tablice, struktury i unie.
  * Wskaźniki.
  * Dynamiczne zarządzanie pamięcią, standardowe biblioteki C.
  * Sekwencyjne i swobodne przetwarzanie plików.
  * Programowanie okienkowego interfejsu w GTK+.
  * Klasy, obiekty i strumienie w C++.

**Literatura:**

* Kernighan B.W., Ritchie D.M.: Język ANSI C. Seria ""Klasyka Informatyki"". Warszawa, Wydawnictwa Naukowo-Techniczne 2003. Podręcznik podstawowy.
* King K.N.: Język C, Nowoczesne programowanie, Wydanie II, Helion 2011 (uwzględnia standard C99).
* Banahan M., Brady D., Doran M., The C Book, http://publications.gbdirect.co.uk/c_book/ (dostępny za darmo jako pdf i na WWW).
* Schildt B., C: The Complete Reference: covers C++ and ANSI C, Osborne McGraw-Hill, 
* ISO/IEC 2011 - Programming languages - C (aktualny standard ISO 2011), http://www.open-std.org/JTC1/SC22/wg14/www/docs/n1570.pdf (wstępna wersja opisu standardu)."
Advanced techniques in C++ and STL,5,"Wykład, analiza przykładowych programów, samodzielna praca programistyczna w domu oraz na zajęciach.",,False,False,"**C++** to obiektowy język programowania z długą i bogatą historią.
Stworzony przez Bjarne Stroustrupa w roku 1983, doczekał się pierwszego standardu ISO/IEC 14882:1998 w 1998 roku, znanego jako C++98.
Następnie kilkukrotnie standard ten był aktualizowany: C++03, C++11  oraz C++14.
Ostatnia, najnowsza wersja standardu ISO/IEC 14882:2017, nazwana **C++17**, opublikowana została w grudniu 2017 roku.
Obecnie trwają prace nad kolejną wersją standardu, na razie roboczo nazywanego C++2a.

Język C++ jest jednym z najpopularniejszych obecnie języków programowania, przeznaczonych do tworzenia programów o charakterze systemowym, inżynierskim oraz do pisania gier komputerowych. 
Umożliwia pisanie przenośnych aplikacji zarówno pod Windowsa, Linuxa oraz inne systemy operacyjne.
Język ten oferuje potężne możliwości - pozwala ukrywać skomplikowane rozwiązania pod prostymi interfejsami wysokiego poziomu i jednocześnie tworzyć kod działający na niskim poziomie, gdy wymagane są wysoka wydajność i niskie obciążenie.

Biblioteka standardowa języka C++ jest jego częścią i należy do standardu.
Uzupełnia sam język logicznymi strukturami, czyniąc go łatwiejszym w używaniu.
**STL**, czyli standardowa biblioteka szablonów, jest trzonem biblioteki standardowej.
Powinna być pierwszą rzeczą jakiej trzeba się nauczyć zaraz po opanowaniu języka C++. 

Kurs zaawansowanych technik w C++ i STL ma zapoznać studentów z najnowszymi elementami samego języka programowania jak również z całą biblioteką standardową."
Advanced Python Programming,5,"* wykład
* live coding
* indywidualna implementacja zadań
* projekt programistyczny",,False,False,"Python jest eleganckim obiektowo-zorientowanym językiem skryptowym,
wykorzystywanym zarówno do tworzenia serwisów interentowych jak i do tworzenia
narzędzi do administrowania systemami operacyjnymi (Linux Redhat). Składnia
Pythona jest dość oryginalna: zakres pętli czy instrukcji warunkowej jest
wyznaczony za pomocą wcięć, jednak dzięki temu programy są przejrzyste i
czytelne. Silną stroną Pythona są listy będące częścią języka, dzięki czemu
operacje na listach mają zwartą notację. Programujący w Pythonie mają do
swojej dyspozycji obszerną i rozwijaną bibliotekę standardową, dzięki czemu
można np. napisać klienta prostej sieci P2P w siedemnastowierszowym programie."
Databases 2,6,"wykład
projekt",,False,False,"Wykład będzie poświęcony implementacji systemów zarządzania bazami danych. W ramach pracowni - projekt w C++, we współpracy z teamem Oracle MySQL (https://blogs.oracle.com/mysql/).

Peter Bailis, Joseph M. Hellerstein, Michael Stonebraker  Readings in Database Systems, 5th Edition, http://www.redbook.io/

Raghu Ramakrishnan and Johannes Gehrke, _Database Management Systems_. (Third Edition) McGraw-Hill.

**Program:**

  * Implementacja SZBD.
    * Przechowywanie danych,
    * Indeksy,
    * Sortowanie zewnętrzne,
    * Ewaluacja zapytań,
    * Optymalizacja zapytań,
    * Transakcje.

**Wymagania:** Bazy danych, Algorytmy i Struktury Danych, umiejętność programowania w C++."
Modeling financial derivatives using the F# functional language,2,"Wykład, pracownia",,False,False,"**Przedmiot prowadzony przez pracowników **

Czy zastanawiałaś\zastanawiałes się jak wygląda praca analityka
lub programisty w dziale modelowania instrumentów
finansowych? Co to jest i czym się zajmuje bank inwestycyjny
albo co to jest Fintech? Jeśli chcesz nabyć praktycznych
umiejętności w tej dziedzinie, porządanych na całym świecie,
to podejmij wyzwanie i zapisz się na wykład prowadzony przez
zespół doświadczonych programistów i “quantów”
międzynarodowego banku inwestycyjnego Credit Suisse.
Dowiesz się czym są i do czego służą instrumenty pochodne,
jak banki je wyceniają, oraz jak praktycznie zaimplementować ich
wycenę w języku funkcyjnym F#.
Te umiejętności są bardzo cenione w wielu instytucjach
finansowych, w szczególności w Credit Suisse, który od wielu
lat rozwija dział Quant Analysis and Technology we Wrocławiu
i Warszawie, oraz aktywnie poszukuje pracowników.
Credit Suisse co roku ogłasza nabór do różnego rodzaju
programów dla studentów studiów technicznych i nie tylko,
w których nabyta tu wiedza może być dużą pomocą podczas
rekrutacji."
Calculus,10,"Wykład, rozwiązywanie zadań z komentowaniem, dyskusja",,False,True,"**Program:**

  1. Liczby rzeczywiste i zespolone (4 godz.) : kresy, aksjomat ciągłości, liczby zespolone jako punkty płaszczyzny, postać biegunowa.
  2. Ciągi i szeregi liczbowe rzeczywiste i zespolone (10 godz.): ciągi zbieżne, warunek Cauchy'ego zbieżności, ciągi rekurencyjne (przykłady), twierdzenie Bolzano-Weierstrassa, kryteria zbieżności szeregow, szeregi potęgowe.
  3. Funkcje jednej zmiennej (12 godz.): granica funkcji w punkcie, granice jednostronne, ciągłość funkcji (definicja Cauchy'ego i Heinego), własności funkcji ciągłej na odcinku domkniętym, własność Darboux.
  4. Pochodna funkcji (12 godz.): interpretacja geometryczna pochodnej, pochodna funkcji złożonej i odwrotnej, twierdzenie o wartości średniej, pochodne wyższych rzędow, wzor Taylora, ekstrema i badanie przebiegu funkcji, wzór Stirlinga.
  5. Całkowanie (12 godz.): funkcja pierwotna, całka oznaczona (interpretacja geometryczna funkcji pierwotnej), całka Riemanna,
zastosowania całek, podstawowe algorytmy numeryczne 
  6. Ciągi i szeregi funkcyjne (10 godz.): zbieżność jednostajna (norma jednostajna), szeregi potęgowe, szereg Taylora, funkcje analityczne (wielomiany, funkcja wykładnicza itp.).

**Wymagania:** matematyka w zakresie szkoły średniej"
Clone: Seminar on Systems,3,,,False,False,"Rozejrzyj się wokół siebie okiem informatyka. Stajemy się stopniowo „włączkami” do Systemu. Niektórzy (niektórzy?, zob. jeden z proponowanych tematów) już się stali. I nie są tylko to moje przewidywania i straszenie sprzed lat. To zjawisko potwierdzają obecnie inni, fachowi obserwatorzy. Z drugiej strony spróbujmy (dziś) żyć bez systemów!.... Te dwa spostrzeżenia wyznaczają ramy referatów, które studenci mogą przygotowywać na seminarium z systemów — ramy praktycznie bez granic. Liczy się sposób prezentacji, własny wkład studenta w temat, twórcze spojrzenie na wybrany system i zdolność
wnioskowania o skutkach jego rozwoju lub zaniechania.

Praktyka minionych edycji seminarium z systemów wskazuje, że studenci wolą wybierać tematy dotyczące systemów w bardzo szeroko rozumianym zakresie. Oto kilka przykładów tematów z ostatnich lat:

„Systemy zarządzania prawami autorskimi” [MZI], „Systemy dystrybucji gier” [MBR], „Przez Big Data do Wielkiego Brata” [FCH], „E-wybory” [BWL], „KLM58C, wind 280 degrees” [KWR], „LEGO – jeden patent, aby wszystkie klocki połączyć” [MWO], „Międzynarodowa Stacja Kosmiczna” [MRO], „Fundusze inwestycyjne” [MZA], „System pisma w Korei” [MKO], „Przegląd mechanizmów manipulacji i wykorzystywania w grupach religijnych” [LKL].

Powracając do systemów osadzonych bardziej bezpośrednio w informatyce, referaty studentów mogą w szczególności dotyczyć ośmiu „przestrzeni
informatycznych” odpowiadających ośmiu książkom ostatnio przetłumaczonym przez proponującego to seminarium. Ujmując swobodnie:

Algorytmy na sposób inżynierski

Git, czyli jeszcze jeden system rozproszony

Wielkie dane — z czym to się je

Co ma algebra abstrakcyjna do biblioteki STL C++

Jak działa oprogramowanie: czy na pewno wiemy? A jeśli nawet, to jak to
wyjaśnić profanom?

Internet rzeczy — konsekwencja i konieczność rozwoju czy techniczno-ekonomiczna fanaberia?

Bezpieczeństwo systemów informatycznych, czyli jak żyć, dopóki wystarcza prądu

Systemy operacyjne — kopalnia tematów bez dna, w szczególności: hiperwizory i maszyny wirtualne; pożyteczne czy informatyczny zawrót głowy?

A poza informatyką, choć bezsprzecznie informatycy mają tu sporo (lub coś) do powiedzenia, na przykład takie propozycje:

Czy sztuczna inteligencja nas „zje”? Jeśli tak, to gdzie będzie się szukać winnych? Jeśli nie, to dlaczego i komu wypadnie dziękować?

Słowa jednoznaczne, słowa o wielu znaczeniach, słowa cenne, słowa śmiecie, słowa pozostające dźwiękami bez realnych przypisań. Co to jest nauka? Co to jest metodologia nauk? Gdzie są rozgraniczenia między nauką a ... 

Dukaizmy, niebinarne zaimki a precyzja i czytelność języka; lingwistyczna odpowiedź na zmiany czy pokoleniowa efemeryda? 

Czy stoicyzm, jako system filozoficzny, „przepis” egzystencjalny, jest dobry na nasze czasy? Tak? Nie?

**Wymagania:** otwarta głowa, ciekawość świata. A dokładniej: szerokie horyzonty myślowe, nieograniczanie się w projekcji zastosowań informatyki do tych najpopularniejszych. Myślenie kategoriami globalnymi: jakie zmiany powoduje burzliwy wzrost zastosowań komputerów i sieci? Czego można się spodziewać za 5 lub 10 lat w związku z tym? Jak Sieć i informatyka oddziałuje na cywilizację? Czy ludzie stają się dzięki zastosowaniom komputerów mądrzejsi? Lepsi? Czy...

Osoby stawiające sobie takie i podobne pytania dobrze kandydują do udziału w „Seminarium z systemów” (S2).

**Cele.** Wzbudzanie refleksji dotyczących wpływu postępu technologicznego, a informatyzacji w szczególności, na ludzkość, losy cywilizacji i świata. W dobie samochodów-sieci i samochodów w Sieci, Internetu rzeczy, silosów informacji gromadzonej wszędzie, oprogramowania, nad którego działaniem informatycy zastanawiają się niczym neurolodzy nad tajnikami mózgu — o wszystkim i o wszystkich warto dyskutować na temat ewentualnych konsekwencji, pozytywów i negatywów rozwoju (a może o potrzebie pewnej stagnacji?). Seminarium nie ma
kształtować postaw ani sądów zdecydowanych i ostatecznych. Ma pobudzić do myślenia o nas, o ludziach i ich krzemowym dziele. Jeśli przy okazji referenci wydobędą z Sieci oryginalne, nowe zastosowania informatyki — tym lepiej.
Technologia zmienia się szybko, człowiek znacznie wolniej. Co z tego wynika? Co wyniknie?

**Możliwa literatura.** Książki tłumaczone przez proponującego seminarium (por. strona w Wikipedii), nowiny i nowości informatyczne odnajdywane w Sieci,
zarówno stricte techniczne i użytkowe, jak i o charakterze oddziaływania społecznego i (lub) kulturowego.

**Forma zaliczenia.** Dobrze przygotowany, dobrze wygłoszony i dobrze udokumentowany, pobudzający do dyskusji referat plus aktywne uczestnictwo w
odbiorze i ocenie innych referatów rokuje dobre zaliczenie.

W trakcie semestru studenci mają wgląd w materiały do wykładów wygłoszonych na S2 w poprzednich latach, udostępniane na odpowiedniej stronie witryny SKOS.

**Uwaga dotycząca sposobu prowadzenia zajęć.** Praktycznie w każdym przypadku zdalne prowadzenie zajęć stępia i ogranicza proces dydaktyczny, usztywnia dyskusję, niemniej doświadczenie z poprowadzenia tych zajęć w semestrze letnim roku akademickiego 2019-2020  w trybie zdalnym (z konieczności) dowodzi, że mimo tych strat można je poprowadzić zdalnie. Oczywiście to nie to samo, co bezpośrednia wymiana myśli z młodzieżą akademicką w salach Instytutu. Zakładam optymistycznie, że: a) będziemy jeszcze trochę istnieć i b) wirus (przyroda) na jakiś jeszcze czas odpuści

20-05-04, 20-05-25, 20-06-08, 20-06-21, 22-04-24, 22-06-29 zpl..IIUWr"
Ideas of Post-Humanism: the Artificial Intelligence Project and the Problem of Possible Minds,5,"wykład, dyskusja, praca semestralna",,False,False,"**Przedmiot prowadzony przez dra Piotra Łukomskiego z  Instytutu Politologii, Wydziału Nauk Społecznych.**

1. Metafora komputera w badaniach nad umysłem i świadomością oraz jej konsekwencje dla
rozumienia kultury i człowieka.
2. Post-humanizm czy humanizm rozszerzony – komu lub czemu możemy przypisać cechę
umysłu.
3. Kultura jako rzeczywistość wirtualna: problem znaczenia, sensu i komunikacji w teorii
informacji.
4. Humanistyka jako artefakt kultury w świecie technologii informacyjnych.
5. Mózg Boltzmanna i inne eksperymenty myślowe czyli rzeczywistość z punktu widzenia
możliwego umysłu.
6. Umysł świadomy czyli jaki? Stopniowalność świadomości i idea panpsychizmu.
7. Czym jest świadomość – symulatorem czy symulacją: pomieszanie porządków logicznych i
przyczynowo – skutkowych.
8. Zakres pojęcia świadomości: perspektywa pierwszo-osobowa i perspektywa trzecio-osobowa.
Świat prywatnych fenomenów a rzeczywistość obiektywna i społeczna.
9. Świadomość refleksyjna i jej rola w procesach przetwarzania informacji o świecie. Problem
podmiotu w naukach kognitywnych.

10. Idea odwróconej inżynierii: jeśli potrafimy skonstruować świadomy umysł to wiemy, czym on
jest.
11. Świadomość i tożsamość: czy jesteśmy tym, kim myślimy, że jesteśmy?
12. Wielorakość tożsamości graczy i aktorów: świat społeczny jako symulacja ról.
13. Idea persony w klasycznej humanistyce i jako rola do odegrania.
14. Umysł i świadomość poza ludzkim mózgiem: problem A.I. i G.A.I. Systemy przetwarzania
informacji i problem kontroli nad zachowaniami społecznymi. Dystopia końca ludzkości."
Seminar: Finite and Algorithmic Model Theory,6,wykład – wykład interaktywny – prezentacja - dyskusja – analiza tekstu - rozwiązywanie zadań z komentowaniem,,False,False,"Seminarium skupia się na bardziej zaawansowanych tematach skończonej i algorytmicznej teorii modeli. Skierowane jest do słuchaczy przedmiotów ,,Wybrane tematy teorii modeli skończonych i złożoności opisowej'' oraz ,,Problemy decyzyjne w logice'', ale mogą w nim też wziąć osoby zainteresowane logiką, które we własnym zakresie nadrobią podstawowe pojęcia (gry Erenfauhta Fraisego, (nie)rozstrzygalność logiki pierwszego rzędu).


**Termin i tryb seminarium:**

Termin seminarium zostanie ustalony podczas pierwszego  spotkania. Seminarium będzie prowadzone online.
Seminarium będzie prowadzone przez Bartosza Bednarczyka oraz Piotra Ostropolskiego-Nalewaję."
Seminar: Fine-grained complexity,3,"Wykład, rozwiązywanie zadań z komentowaniem, indywidualne/grupowe rozwiązywanie zadań/problemów, indywidualny/zespołowy projekt programistyczny",,False,False,"Złożoność drobnoziarnista (fine-grained complexity) jest aktualnie jednym z najbardziej dynamicznie rozwijających się kierunków algorytmiki. Prace poświęcone tej tematyce regularnie pojawiają się na topowych konferencjach typu STOC/FOCS/SODA/ICALP, a poświęcone jej wykłady są prowadzone na najlepszych uczelniach zarówno w Europie (ETH, Saarbruecken), jak i w USA (MIT, Stanford, Harvard). Celem tych zajęć będzie wprowadzenie i przedstawienie najciekawszych (w naszej ocenie) wyników w tej dziedzinie.

Celem fine-grained complexity jest klasyfikacja problemów rozwiązywalnych w czasie wielomianowym. Przykładowo, w problemie APSP chcemy znaleźć odległość między każdą parą wierzchołków w danym ważonym grafie skierowanym. Nie jest trudno rozwiązać ten problem w czasie O(n^3), co być może zaskakujące nie znamy istotnie szybszego algorytmu. Ale jednocześnie nie potrafimy udowodnić, że takiego nie ma! Naturalne jest więc rozważanie całej klasy problemów, które są równoważne APSP (w odpowiednio zdefiniowanym sensie): rozwiązanie dowolnego z nich w czasie O(n^{3-eps}) sprawi, że uzyskamy istotnie szybsze rozwiązanie dla wszystkich innych.

Seminarium będzie złożone z dwóch części. Podczas pierwszej z nich (prowadzonej online) zapoznamy się z podstawowymi technikami używanymi w tej dziedzinie, na podstawie materiałów z wykładów prowadzonych na innych uczelniach, a później (już w formie stacjonarnej) zajmiemy się czytaniem i omawianiem aktualnych prac.

Wśród technik omawianych na pierwszej części znajdzie się sporo takich, które powinny być przystępne już dla studentów, którzy zaliczyli zajęcia z Matematyki Dyskretnej (a z całą pewnością dla tych, którzy zaliczyli Algorytmy i Struktury Danych). W pracach przedstawianych na drugiej części pojawią się pomysły nieco trudniejsze, których zrozumienie może być dobrym wstępem do ambitnej pracy magisterskiej."
Project: Machine Learning for Recommender Systems,4,zespołowy projekt programistyczny z elementami studiów literatury i prac badawczych,,False,False,"Celem projektu jest opracowanie/wykorzystanie/rozszerzenie algorytmów uczenia maszynowego dla systemów rekomendujących i wykorzystanie ich do konstrukcji prototypu systemu rekomendującego dla wybranego problemu/zbioru danych.

Poza podstawowymi algorytmami _Collaborative Filtering_ i _Matrix Factorization_, chciałbym skupić się na nowych podejściach m.in. _Factorization Machines_, _Neural Collaborative Filtering_, _Neural Graph Collaborative Filtering_ i ich rozszerzeniach, a także rozważyć takie aspekty jak: zmienność charakterystyki danych/użytkowników/produktów/interakcji w czasie, różne modele implicite i explicite ratings, różne modele wektorowych zanurzeń produktów, zgodność wektorowych zanurzeń produktów z ich kategoryzacją i product feedem.

Prototyp systemu będzie uczony i testowany na wybranym zbiorze danych, takim jak _Movie-Lens_, _Yelp_, _Amazon-Books_ lub innym dostępnym publicznie (m.in. na Kaggle).

**UWAGA:** Projekt jest przeznaczony dla osób posiadających wiedzę z eksploracji danych i uczenia maszynowego (w zakresie potrzebnym do realizacji projektu) oraz umiejętności techniczne w tym zakresie. Część prac może być wykonywana przez osoby z mniejszym doświadczeniem, ale zalecałbym kontakt emailem i ustalenie tego przed zapisaniem się."
Course: Technical writing (Q2),3,"Wykład, analiza tekstu, ćwiczenia warsztatowe, krótka praca zaliczeniowa",,False,False,"Ten przedmiot:
- będzie prowadzony **w drugiej połowie semestru** letniego,
- jest przeznaczony dla osób odbywających studia **zarówno I, jak i II stopnia** – w związku z tym musi być zaklasyfikowany jako kurs „zaawansowany”, ale w tym przypadku jest to kwestia terminologii, która nie powinna nikogo odstraszać.

---

Pisanie tekstów technicznych (w tym prac dyplomowych czy zaliczeniowych, ale też jakichkolwiek opracowań, które powinny cechować się precyzją i uporządkowaniem wypowiedzi) to umiejętność tyleż cenna, co trudna do pozyskania w zorganizowany sposób. W ofercie mało jest przedmiotów poświęconych bezpośrednio tej umiejętności, a w trakcie studiów informatycznych nabywa się ją (bądź nie) niejako przy okazji. Ten kurs powinien przynajmniej częściowo zapełnić tę lukę.

Zasadnicza część kursu będzie poświęcona organizacji, podziałowi i składowi tekstu – zarówno ich ogólnym zasadom, jak i realizacją tych zasad w systemie składu LaTeX. Nie jest to jednak kurs LaTeXa _per se_ – o ile na pewno będzie pomocny w rozwoju umiejętności oraz dobrych praktyk w tym systemie, ważniejsze będzie omówienie zasad, które będzie można stosować w dowolnych systemach składu, także tych popularnych z kategorii WYSIWYG.

Kurs będzie ponadto obejmował wiedzę językową – pewnie siłą rzeczy dość fragmentaryczną – przydatną w pisaniu tekstów technicznych. Jeśli starczy czasu, sił i ochoty, pojawi się też analogiczna tematyka dla języka angielskiego, przy czym oczywiście do odbycia kursu wystarczy tylko podstawowa jego znajomość.

#### Wymagania wstępne

##### Zrealizowane przedmioty
* _Logika dla informatyków_, _matematyka dyskretna_ **lub** inny przedmiot, w ramach którego należało tworzyć i spisywać rozumowania matematyczne

##### Niezbędne kompetencje
* Podstawowa znajomość systemu składu tekstu LaTeX, np. pozyskana w ramach przedmiotu _podstawowy warsztat informatyka_
* Znajomość języka polskiego na poziomie absolwenta szkoły średniej"
FreeBSD Device Drivers,5,"* Wykład.
* Ćwiczenia: czytanie kodu jądra _FreeBSD_, analiza zachowania jądra przy użyciu _DTrace_, konsultacje do pracowni w zakresie projektowania.
* Pracownia: implementacja sterowników, szukanie błędów, rozszerzanie `gdb`.",,False,False,"Celem kursu jest przygotowanie studentów do pracy z jądrem _FreeBSD_, a w szczególności do implementacji sterowników. Po drodze nauczymy się również korzystać z _DTrace_ i zajrzymy do tematów, które zostały pominięte na przedmiocie _Struktura Jądra UNIX_. 

Zajęcia będą prowadzone raczej luźnym tempem. W pierwszej edycji wykład będzie niedopracowany, a prowadzący będzie się uczył niektórych rzeczy wraz ze studentami. Na pracowni będziemy pisać sterowniki urządzeń. Na ćwiczeniach będziemy czytać kod i uruchamiać skrypty DTrace.

**UWAGA!** Prowadzący zakłada dobre przygotowanie teoretyczne z zakresu organizacji jąder systemów operacyjnych.

##### Tematy wykładów

* Instalacja i praca z systemem FreeBSD.
* Kompilacja jądra i sterowników.
* DTrace i śledzenie jądra.
* Debugowanie w przestrzeni jądra.
* Omówienie systemu budowania i `BSD Make`.
* Struktura modułu jądra.
* Interfejs plikowy urządzeń `cdevsw`
* Wykrywanie urządzeń i kojarzenie ich ze sterownikami `driver` i `devclass`.
* Zarządzanie zasobami sprzętowymi: pamięć, porty, kanały DMA i przerwania.
* Sterownik magistrali (na przykładzie `PCI`).
* Zmienne jądra `sysctl`.
* Reakcja na zdarzenia jądra `eventhandler`.
* Kolejki zadań odroczonych `taskqueue`.
* Sterowniki urządzeń przechowujących dane.
* Common Access Method.
* Sterowniki urządzeń USB.
* Omówienie stosu sieciowego.
* Sterowniki urządzeń sieciowych."
